title,Type,Based on other media,release_date,Studio,Notes,...7,...8,...9,...10,...11,...12
Star Wars: The Rise of Skywalker,Sequel,0,2019-12-20T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
Frozen II,Sequel,0,2019-11-22T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Lady and the Tramp,Remaster,0,2019-11-12T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Noelle,Original,0,2019-11-12T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Maleficent: Mistress of Evil,Sequel,0,2019-10-18T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Lion King,Remaster,0,2019-07-19T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Spider-Man: Far From Home,Sequel,1,2019-07-02T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
Toy Story 4,Sequel,0,2019-06-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Toy Story 4,Sequel,0,2019-06-21T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
Aladdin,Remaster,0,2019-05-24T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Avengers: Endgame,Sequel,1,2019-04-26T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
Penguins,Original,0,2019-04-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Dumbo,Remaster,1,2019-03-29T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Captain Marvel,Original,1,2019-03-08T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
Mary Poppins Returns,Sequel,0,2018-12-19T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Ralph Breaks the Internet,Sequel,0,2018-11-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Nutcracker and the Four Realms,Original,1,2018-11-02T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Christopher Robin,Original,0,2018-08-03T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Ant-Man and the Wasp,Sequel,1,2018-07-06T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
Incredibles 2,Sequel,0,2018-06-15T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Incredibles 2,Sequel,0,2018-06-15T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
Solo: A Star Wars Story,Spin-off,0,2018-05-10T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
Avengers: Infinity War,Sequel,1,2018-04-27T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
A Wrinkle in Time,Remaster,1,2018-03-09T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Black Panther,Original,1,2018-02-16T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
Expedition China,Original,0,2017-12-27T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Star Wars: The Last Jedi,Sequel,0,2017-12-15T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
Coco,Original,1,2017-11-22T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Coco,Original,0,2017-11-22T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
Thor: Ragnarok,Sequel,1,2017-11-03T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
The Last Warrior,Original,1,2017-10-29T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Jagga Jasoos,Original,0,2017-07-14T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Spider-Man: Homecoming,Original,1,2017-07-07T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
Ghost of the Mountains,Original,0,2017-06-30T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Cars 3,Sequel,0,2017-06-16T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Cars 3,Sequel,0,2017-06-16T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
Pirates of the Caribbean: Dead Men Tell No Tales,Sequel,0,2017-05-26T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Guardians of the Galaxy Vol. 2,Sequel,1,2017-05-05T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
Born in China,Original,0,2017-04-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Beauty and the Beast,Remaster,1,2017-03-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
L'Empereur - March of the Penguins 2: The Next Step,Original,0,2017-02-15T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Dangal,Original,0,2016-12-21T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Rogue One: A Star Wars Story,Spin-off,0,2016-12-16T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
Growing Up Wild,Original,0,2016-12-06T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Moana,Original,0,2016-11-23T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Doctor Strange,Original,1,2016-11-04T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
Queen of Katwe,Original,1,2016-09-30T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Pete's Dragon,Original,1,2016-08-12T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The BFG,Original,1,2016-07-01T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Finding Dory,Sequel,0,2016-06-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Finding Dory,Sequel,0,2016-06-17T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
Alice Through the Looking Glass,Sequel,1,2016-05-27T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Tini: The Movie,Original,1,2016-05-06T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Captain America: Civil War,Sequel,1,2016-05-06T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
The Jungle Book,Remaster,1,2016-04-15T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Zootopia,Original,0,2016-03-04T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Finest Hours,Original,1,2016-01-29T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Star Wars: The Force Awakens,Sequel,0,2015-12-18T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
The Good Dinosaur,Original,0,2015-11-25T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
The Good Dinosaur,Original,0,2015-11-25T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
Ant-Man,Original,1,2015-07-17T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
Inside Out,Original,0,2015-06-19T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
ABCD 2,Sequel,0,2015-06-19T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Inside Out,Original,0,2015-06-19T00:00:00Z,Pixar,NA,NA,NA,NA,NA,NA,NA
Tomorrowland,Original,1,2015-05-22T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Avengers: Age of Ultron,Sequel,1,2015-05-01T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
Monkey Kingdom,Original,0,2015-04-17T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Cinderella,Remaster,1,2015-03-13T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Tinker Bell and the Legend of the NeverBeast,Sequel,0,2015-03-03T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
"McFarland, USA",Original,0,2015-02-20T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Strange Magic,Original,0,2015-01-23T00:00:00Z,Lucasfilm,NA,NA,NA,NA,NA,NA,NA
Into the Woods,Original,1,2014-12-25T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Big Hero 6,Original,1,2014-11-07T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Original,1,2014-10-10T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Khoobsurat,Remaster,0,2014-09-19T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Guardians of the Galaxy,Original,1,2014-08-01T00:00:00Z,Marvel,NA,NA,NA,NA,NA,NA,NA
Planes: Fire & Rescue,Sequel,0,2014-07-18T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Maleficent,Original,0,2014-05-30T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
Million Dollar Arm,Original,0,2014-05-16T00:00:00Z,Walt Disney Pictures,NA,NA,NA,NA,NA,NA,NA
